Szene;Qualität;Gruppe;Proband;Altersgruppe;Alter;km/y;Verkehrsaufkommen;Tag;VT;VS;SA Level 3;SA gesamt;Speed;Spur;Rate
SA10;N;HMD;1;U35;23;15000;1;1;0,00;0,00;1,000;0,333;0;Korrekt;9
SA10;N;HMD;2;U22;19;3000;1;4;0,00;0,00;0,000;0,000;0;zu weit rechts;7
SA10;H;M Sphere;3;U22;18;8000;1;3;0,00;1,00;1,000;0,667;0;zu weit links;9
SA10;N;M Flat;4;U35;23;3000;1;1;1,00;1,00;1,000;1,000;0;Korrekt;8
SA10;N;M Flat;5;U22;19;8000;1;4;0,00;1,00;1,000;0,667;0;Korrekt;7
SA10;H;M Flat;6;U35;32;3000;1;3;0,00;0,00;0,000;0,000;0;Korrekt;7
SA10;N;HMD;7;U35;22;8000;1;4;0,00;0,00;0,000;0,000;0;Korrekt;10
SA10;N;M Sphere;8;U35;22;3000;1;1;0,00;1,00;1,000;0,667;0;Korrekt;8
SA10;N;HMD;9;Ü35;53;30000;1;2;0,00;1,00;0,000;0,333;0;zu weit rechts;6
SA10;N;M Flat;10;Ü35;49;15000;1;4;0,00;1,00;1,000;0,667;0;zu weit links;8
SA10;N;M Sphere;11;Ü35;54;8000;1;4;0,00;0,00;0,000;0,000;0;zu weit links;8
SA10;N;M Flat;12;U35;22;8000;1;2;0,00;1,00;0,000;0,333;0;Korrekt;4
SA10;H;M Sphere;13;U22;20;8000;1;3;1,00;0,00;0,000;0,333;0;Korrekt;8
SA10;H;M Flat;14;U35;23;15000;1;4;0,00;1,00;1,000;0,667;0;Korrekt;10
SA10;H;M Flat;15;Ü35;59;30000;1;2;0,00;0,00;0,000;0,000;0;Korrekt;9
SA10;H;HMD;16;U22;19;15000;1;2;1,00;0,00;0,000;0,333;0;zu weit rechts;9
SA10;N;M Flat;17;U35;27;8000;1;4;0,00;0,00;0,000;0,000;0;Korrekt;5
SA10;H;HMD;18;U22;21;3000;1;4;1,00;1,00;1,000;1,000;0;Korrekt;6
SA10;H;M Flat;19;U22;21;3000;1;3;0,00;1,00;1,000;0,667;0;Korrekt;7
SA10;H;M Flat;20;U22;19;15000;1;1;1,00;1,00;1,000;1,000;0;Korrekt;10
SA10;N;M Sphere;21;U22;21;15000;1;4;0,00;1,00;1,000;0,667;0;zu weit links;1
SA10;N;M Sphere;22;U35;28;8000;1;2;0,00;1,00;1,000;0,667;0;Korrekt;10
SA10;H;M Sphere;23;U35;22;3000;1;4;1,00;0,00;0,000;0,333;0;zu weit links;8
SA10;H;HMD;24;U35;26;8000;1;3;1,00;1,00;1,000;1,000;0;zu weit links;10
SA10;H;HMD;25;Ü35;50;15000;1;1;0,00;1,00;1,000;0,667;0;Korrekt;5
SA10;N;HMD;26;U35;24;3000;1;4;0,00;0,00;1,000;0,333;0;Korrekt;5
SA10;H;M Sphere;27;U22;19;3000;1;3;1,00;1,00;1,000;1,000;0;Korrekt;6
SA10;H;HMD;28;U35;24;3000;1;1;1,00;1,00;1,000;1,000;0;Korrekt;8
SA10;H;M Sphere;29;U35;22;3000;1;1;0,00;0,00;1,000;0,333;0;zu weit links;9
SA11;H;HMD;1;U35;23;15000;1;2;1,00;1,00;0,000;0,667;2;zu weit rechts;9
SA11;H;HMD;2;U22;19;3000;1;2;1,00;1,00;1,000;1,000;5;Korrekt;6
SA11;N;M Sphere;3;U22;18;8000;1;1;1,00;1,00;1,000;1,000;-3;zu weit links;3
SA11;H;M Flat;4;U35;23;3000;1;2;1,00;1,00;0,000;0,667;2;zu weit rechts;8
SA11;H;M Flat;5;U22;19;8000;1;2;1,00;1,00;0,000;0,667;6;zu weit rechts;7
SA11;N;M Flat;6;U35;32;3000;1;1;1,00;1,00;1,000;1,000;-5;Korrekt;4
SA11;H;HMD;7;U35;22;8000;1;1;1,00;1,00;1,000;1,000;7;zu weit rechts;8
SA11;H;M Sphere;8;U35;22;3000;1;2;1,00;1,00;0,000;0,667;-3;Korrekt;7
SA11;H;HMD;9;Ü35;53;30000;1;3;1,00;1,00;0,000;0,667;-1;Korrekt;10
SA11;H;M Flat;10;Ü35;49;15000;1;1;1,00;1,00;1,000;1,000;10;Korrekt;3
SA11;H;M Sphere;11;Ü35;54;8000;1;2;1,00;1,00;0,000;0,667;-3;zu weit rechts;9
SA11;H;M Flat;12;U35;22;8000;1;3;1,00;1,00;1,000;1,000;4;Korrekt;7
SA11;N;M Sphere;13;U22;20;8000;1;1;1,00;1,00;1,000;1,000;14;Korrekt;9
SA11;N;M Flat;14;U35;23;15000;1;2;1,00;1,00;0,000;0,667;2;Korrekt;9
SA11;N;M Flat;15;Ü35;59;30000;1;4;1,00;1,00;0,000;0,667;2;Korrekt;7
SA11;N;HMD;16;U22;19;15000;1;4;1,00;1,00;0,000;0,667;2;Korrekt;9
SA11;H;M Flat;17;U35;27;8000;1;3;1,00;1,00;0,000;0,667;7;zu weit rechts;10
SA11;N;HMD;18;U22;21;3000;1;2;1,00;1,00;1,000;1,000;2;Korrekt;8
SA11;N;M Flat;19;U22;21;3000;1;1;1,00;1,00;1,000;1,000;2;Korrekt;7
SA11;N;M Flat;20;U22;19;15000;1;1;1,00;1,00;1,000;1,000;2;Korrekt;8
SA11;H;M Sphere;21;U22;21;15000;1;1;1,00;1,00;1,000;1,000;2;Korrekt;1
SA11;H;M Sphere;22;U35;28;8000;1;3;1,00;1,00;1,000;1,000;17;Korrekt;7
SA11;N;M Sphere;23;U35;22;3000;1;2;1,00;1,00;1,000;1,000;-1;zu weit rechts;8
SA11;N;HMD;24;U35;26;8000;1;1;1,00;1,00;0,000;0,667;-3;zu weit rechts;10
SA11;N;HMD;25;Ü35;50;15000;1;1;1,00;1,00;0,000;0,667;-3;Korrekt;7
SA11;H;HMD;26;U35;24;3000;1;3;1,00;1,00;0,000;0,667;2;Korrekt;6
SA11;N;M Sphere;27;U22;19;3000;1;1;1,00;1,00;0,000;0,667;2;zu weit rechts;5
SA11;N;HMD;28;U35;24;3000;1;2;1,00;1,00;1,000;1,000;2;Korrekt;7
SA11;N;M Sphere;29;U35;22;3000;1;1;1,00;1,00;1,000;1,000;2;Korrekt;5
SA12;N;HMD;1;U35;23;15000;2;4;1,00;1,00;0,000;0,667;0;zu weit links;7
SA12;N;HMD;2;U22;19;3000;2;3;1,00;1,00;0,000;0,667;0;zu weit links;7
SA12;H;M Sphere;3;U22;18;8000;2;2;1,00;1,00;1,000;1,000;0;Korrekt;5
SA12;N;M Flat;4;U35;23;3000;2;4;0,66;1,00;1,000;0,887;0;Korrekt;8
SA12;N;M Flat;5;U22;19;8000;2;3;1,00;1,00;1,000;1,000;0;Korrekt;8
SA12;H;M Flat;6;U35;32;3000;2;2;0,66;1,00;1,000;0,887;0;Korrekt;5
SA12;N;HMD;7;U35;22;8000;2;3;0,66;1,00;1,000;0,887;0;zu weit links;10
SA12;N;M Sphere;8;U35;22;3000;2;4;0,66;1,00;1,000;0,887;0;zu weit links;7
SA12;N;HMD;9;Ü35;53;30000;2;1;1,00;1,00;1,000;1,000;0;zu weit links;3
SA12;N;M Flat;10;Ü35;49;15000;2;3;1,00;1,00;1,000;1,000;0;zu weit links;8
SA12;N;M Sphere;11;Ü35;54;8000;2;3;0,66;1,00;1,000;0,887;0;Korrekt;8
SA12;N;M Flat;12;U35;22;8000;2;1;0,66;1,00;1,000;0,887;0;Korrekt;6
SA12;H;M Sphere;13;U22;20;8000;2;2;0,33;1,00;1,000;0,777;0;zu weit links;9
SA12;H;M Flat;14;U35;23;15000;2;1;0,66;1,00;1,000;0,887;0;zu weit links;7
SA12;H;M Flat;15;Ü35;59;30000;2;2;1,00;1,00;0,000;0,667;0;zu weit links;6
SA12;H;HMD;16;U22;19;15000;2;2;1,00;1,00;1,000;1,000;0;Korrekt;8
SA12;N;M Flat;17;U35;27;8000;2;1;1,00;1,00;1,000;1,000;0;Korrekt;6
SA12;H;HMD;18;U22;21;3000;2;1;0,66;1,00;1,000;0,887;0;zu weit links;7
SA12;H;M Flat;19;U22;21;3000;2;1;0,66;1,00;1,000;0,887;0;zu weit links;3
SA12;H;M Flat;20;U22;19;15000;2;2;0,33;1,00;1,000;0,777;0;zu weit links;9
SA12;N;M Sphere;21;U22;21;15000;2;3;0,66;1,00;1,000;0,887;0;Korrekt;1
SA12;N;M Sphere;22;U35;28;8000;2;1;1,00;1,00;1,000;1,000;0;zu weit links;2
SA12;H;M Sphere;23;U35;22;3000;2;1;1,00;1,00;1,000;1,000;0;Korrekt;1
SA12;H;HMD;24;U35;26;8000;2;1;0,66;1,00;1,000;0,887;0;Korrekt;10
SA12;H;HMD;25;Ü35;50;15000;2;2;1,00;1,00;1,000;1,000;0;zu weit links;4
SA12;N;HMD;26;U35;24;3000;2;1;1,00;1,00;1,000;1,000;0;Korrekt;5
SA12;H;M Sphere;27;U22;19;3000;2;2;1,00;1,00;1,000;1,000;0;Korrekt;7
SA12;H;HMD;28;U35;24;3000;2;4;1,00;1,00;1,000;1,000;0;zu weit links;8
SA12;H;M Sphere;29;U35;22;3000;2;2;1,00;1,00;1,000;1,000;0;zu weit links;4
SA12;N;M Sphere;30;U22;21;15000;2;1;0,66;1,00;1,000;0,887;0;Korrekt;2
SA14;N;HMD;1;U35;23;15000;1;3;0,00;1,00;0,000;0,333;-10;Korrekt;9
SA14;N;HMD;2;U22;19;3000;1;4;0,00;1,00;0,000;0,333;-3;zu weit links;7
SA14;H;M Sphere;3;U22;18;8000;1;2;1,00;1,00;1,000;1,000;5;Korrekt;4
SA14;N;M Flat;4;U35;23;3000;1;3;1,00;1,00;1,000;1,000;5;Korrekt;8
SA14;N;M Flat;5;U22;19;8000;1;4;0,00;1,00;0,000;0,333;0;Korrekt;5
SA14;H;M Flat;6;U35;32;3000;1;2;1,00;1,00;1,000;1,000;5;Korrekt;6
SA14;N;HMD;7;U35;22;8000;1;4;1,00;1,00;1,000;1,000;5;Korrekt;7
SA14;N;M Sphere;8;U35;22;3000;1;3;1,00;1,00;1,000;1,000;10;Korrekt;7
SA14;N;HMD;9;Ü35;53;30000;1;2;0,00;1,00;1,000;0,667;5;Korrekt;3
SA14;N;M Flat;10;Ü35;49;15000;1;4;1,00;1,00;1,000;1,000;5;zu weit links;8
SA14;N;M Sphere;11;Ü35;54;8000;1;4;0,00;1,00;0,000;0,333;5;zu weit links;5
SA14;N;M Flat;12;U35;22;8000;1;2;1,00;1,00;1,000;1,000;0;zu weit links;1
SA14;H;M Sphere;13;U22;20;8000;1;2;1,00;1,00;1,000;1,000;5;zu weit rechts;9
SA14;H;M Flat;14;U35;23;15000;1;2;1,00;1,00;0,000;0,667;-1;Korrekt;10
SA14;H;M Flat;15;Ü35;59;30000;1;2;1,00;1,00;1,000;1,000;5;Korrekt;8
SA14;H;HMD;16;U22;19;15000;1;2;1,00;1,00;1,000;1,000;5;Korrekt;7
SA14;N;M Flat;17;U35;27;8000;1;4;0,00;1,00;0,000;0,333;5;Korrekt;8
SA14;H;HMD;18;U22;21;3000;1;2;1,00;1,00;1,000;1,000;5;zu weit rechts;8
SA14;H;M Flat;19;U22;21;3000;1;4;1,00;1,00;1,000;1,000;5;Korrekt;6
SA14;H;M Flat;20;U22;19;15000;1;4;1,00;1,00;1,000;1,000;7;Korrekt;9
SA14;N;M Sphere;21;U22;21;15000;1;4;0,00;1,00;0,000;0,333;0;zu weit links;1
SA14;N;M Sphere;22;U35;28;8000;1;2;1,00;1,00;1,000;1,000;10;Korrekt;5
SA14;H;M Sphere;23;U35;22;3000;1;2;1,00;1,00;1,000;1,000;-5;Korrekt;4
SA14;H;HMD;24;U35;26;8000;1;4;1,00;1,00;1,000;1,000;5;zu weit links;10
SA14;H;HMD;25;Ü35;50;15000;1;4;1,00;1,00;1,000;1,000;5;Korrekt;7
SA14;N;HMD;26;U35;24;3000;1;4;1,00;1,00;1,000;1,000;0;zu weit links;2
SA14;H;M Sphere;27;U22;19;3000;1;2;1,00;1,00;1,000;1,000;5;Korrekt;7
SA14;H;HMD;28;U35;24;3000;1;3;1,00;1,00;1,000;1,000;0;Korrekt;7
SA14;H;M Sphere;29;U35;22;3000;1;4;0,00;1,00;1,000;0,667;-5;Korrekt;8
SA15;H;HMD;1;U35;23;15000;2;3;1,00;1,00;0,000;0,667;-5;zu weit links;9
SA15;H;HMD;2;U22;19;3000;2;2;1,00;1,00;0,000;0,667;-8;zu weit links;6
SA15;N;M Sphere;3;U22;18;8000;2;4;1,00;1,00;1,000;1,000;-13;zu weit links;7
SA15;H;M Flat;4;U35;23;3000;2;3;1,00;1,00;0,000;0,667;2;Korrekt;8
SA15;H;M Flat;5;U22;19;8000;2;2;1,00;1,00;0,000;0,667;2;zu weit links;7
SA15;N;M Flat;6;U35;32;3000;2;4;1,00;1,00;1,000;1,000;2;zu weit links;5
SA15;H;HMD;7;U35;22;8000;2;1;1,00;1,00;0,000;0,667;2;zu weit links;7
SA15;H;M Sphere;8;U35;22;3000;2;3;1,00;1,00;1,000;1,000;2;Korrekt;7
SA15;H;HMD;9;Ü35;53;30000;2;4;1,00;1,00;1,000;1,000;-3;Korrekt;9
SA15;H;M Flat;10;Ü35;49;15000;2;1;1,00;1,00;0,000;0,667;-3;zu weit links;8
SA15;H;M Sphere;11;Ü35;54;8000;2;2;0,00;1,00;0,000;0,333;-3;zu weit links;8
SA15;H;M Flat;12;U35;22;8000;2;4;1,00;1,00;1,000;1,000;2;Korrekt;9
SA15;N;M Sphere;13;U22;20;8000;2;4;1,00;1,00;1,000;1,000;-6;zu weit links;9
SA15;N;M Flat;14;U35;23;15000;2;3;1,00;1,00;0,000;0,667;-1;zu weit links;10
SA15;N;M Flat;15;Ü35;59;30000;2;1;1,00;1,00;0,000;0,667;2;zu weit links;10
SA15;N;HMD;16;U22;19;15000;2;1;1,00;1,00;1,000;1,000;-3;Korrekt;8
SA15;H;M Flat;17;U35;27;8000;2;4;1,00;1,00;1,000;1,000;-3;Korrekt;9
SA15;N;HMD;18;U22;21;3000;2;3;1,00;1,00;0,000;0,667;-1;zu weit links;9
SA15;N;M Flat;19;U22;21;3000;2;3;1,00;1,00;1,000;1,000;-1;Korrekt;7
SA15;N;M Flat;20;U22;19;15000;2;2;1,00;1,00;0,000;0,667;2;zu weit links;8
SA15;H;M Sphere;21;U22;21;15000;2;1;1,00;1,00;0,000;0,667;-3;Korrekt;1
SA15;H;M Sphere;22;U35;28;8000;2;4;1,00;1,00;1,000;1,000;2;Korrekt;8
SA15;N;M Sphere;23;U35;22;3000;2;3;1,00;1,00;0,000;0,667;-8;zu weit links;8
SA15;N;HMD;24;U35;26;8000;2;3;1,00;1,00;0,000;0,667;12;zu weit links;3
SA15;N;HMD;25;Ü35;50;15000;2;2;1,00;1,00;0,000;0,667;-8;zu weit links;8
SA15;H;HMD;26;U35;24;3000;2;4;1,00;1,00;1,000;1,000;-8;zu weit links;7
SA15;N;M Sphere;27;U22;19;3000;2;4;1,00;1,00;1,000;1,000;-8;zu weit links;6
SA15;N;HMD;28;U35;24;3000;2;3;1,00;1,00;0,000;0,667;-3;zu weit links;7
SA15;N;M Sphere;29;U35;22;3000;2;2;1,00;1,00;0,000;0,667;-3;zu weit links;8
SA16;N;HMD;1;U35;23;15000;3;3;1,00;1,00;0,000;0,667;4;Korrekt;7
SA16;N;HMD;2;U22;19;3000;3;1;1,00;1,00;1,000;1,000;4;zu weit links;4
SA16;H;M Sphere;3;U22;18;8000;3;3;1,00;1,00;1,000;1,000;-1;zu weit rechts;7
SA16;N;M Flat;4;U35;23;3000;3;3;1,00;1,00;1,000;1,000;4;Korrekt;8
SA16;N;M Flat;5;U22;19;8000;3;1;1,00;1,00;0,000;0,667;6;Korrekt;7
SA16;H;M Flat;6;U35;32;3000;3;3;1,00;1,00;1,000;1,000;9;zu weit links;4
SA16;N;HMD;7;U35;22;8000;3;4;1,00;1,00;1,000;1,000;2;zu weit rechts;6
SA16;N;M Sphere;8;U35;22;3000;3;3;0,00;1,00;1,000;0,667;-1;Korrekt;8
SA16;N;HMD;9;Ü35;53;30000;3;2;1,00;1,00;0,000;0,667;2;Korrekt;9
SA16;N;M Flat;10;Ü35;49;15000;3;4;1,00;1,00;1,000;1,000;-6;Korrekt;8
SA16;N;M Sphere;11;Ü35;54;8000;3;1;0,00;1,00;0,000;0,333;4;zu weit rechts;8
SA16;N;M Flat;12;U35;22;8000;3;2;1,00;1,00;1,000;1,000;2;Korrekt;7
SA16;H;M Sphere;13;U22;20;8000;3;3;0,00;1,00;1,000;0,667;6;Korrekt;6
SA16;H;M Flat;14;U35;23;15000;3;2;1,00;1,00;1,000;1,000;1;Korrekt;8
